mine_fac,mine_other_names,country,state,region,province,district,sector,location_municipality,latitude,longitude,surface_area,unit_surface_area,claim_concession_area,unit_concession_area,mine_or_processing,commodities_products,mining_facility_types,production_start,production_end,activity_status,year_activity_status,certification_scheme,source,source_url,comment,,,,,,,
Sukari,,Egypt,,,,,,,24.9448766,34.7149193,,,160,sq. km,Mine,Gold,"Open pit, Underground",,,,,,Centamin (n.d.) Sukari Statistical Overview,http://www.centamin.com/production/sukari/statistical-overview,,,,,,,,
Ahafo,,Ghana,,Brong Ahafo,,,,,,,,,,,Mine,Gold,"Open pit, Underground",2006,,,,,Newmont Mining Corporation (2018) Ahafo Operation Facts,https://www.newmont.com/operations-projects/africa/ahafo/,,,,,,,,
Akyem,,Ghana,,,,,,,6.3456449,-1.0231409,,,,,Mine,Gold,Open pit,2013,,,,,Newmont Mining Corporation (2018) Akyem Operation Facts,https://www.newmont.com/operations-projects/africa/akyem/,,,,,,,,
Boddington,,Australia,Western Australia,,,,,,-32.7636099,116.3826454,,,,,Mine,"Gold, Copper",Open pit,2009,,,,,Newmont Mining Corporation (2018) Boddingtion Operation Facts,https://www.newmont.com/operations-projects/australia/boddington/,"not to be mistaken for the Worsley bauxite mine, which is near the town Boddington",,,,,,,
Kalgoorlie,"Super Pit, KCGM, Kalgoorlie Consolidated Gold Mines Pty Ltd",Australia,Western Australia,,,,,,,,,,,,Mine,Gold,"Open pit, Underground",1989,,,,,Newmont Mining Corporation (2018) Kalgoorlie Operation Facts,https://www.newmont.com/operations-and-projects/australia/kalgoorlie-australia/operation-facts/default.aspx,Not to be mistaken for the Kalgoorlie Smelter,,,,,,,
Tanami,,Australia,Northern Territory,,,,,,-20.5441669,130.3343712,,,,,Mine,Gold,Underground,1983,,,,,Newmont Mining Corporation (2018) Tanami Operation Facts,https://www.newmont.com/operations-projects/australia/tanami/,,,,,,,,
Carlin,,United States,Nevada,,,,,,,,,,,,Mine,Gold,"Open pit, Underground, grinding circuit, roasting circuit, carbon-in leach circuit",1983,,,,,Newmont Mining Corporation (2018) Nevada Operation Facts ; Newmont Mining Corporation (2019) Annual Report 2018,https://www.newmont.com/operations-and-projects/north-america/nevada-us/operation-facts/default.aspx ; https://www.newmont.com/files/doc_financials/annual/2018-Newmont-Annual-Report-Web-Posting-Bookmarked-PDF-(002).pdf,,,,,,,,
Phoenix,Phoenix Operation,United States,Nevada,,,,,,,,,,,,Mine,"Gold, Copper, Copper cathode","Open pit, SX-EW, carbon-in-leach, copper leach pad",1964,,,,,Newmont Mining Corporation (2018) Nevada Operation Facts ; Newmont Mining Corporation (2019) Annual Report 2018,https://www.newmont.com/operations-and-projects/north-america/nevada-us/operation-facts/default.aspx ; https://www.newmont.com/files/doc_financials/annual/2018-Newmont-Annual-Report-Web-Posting-Bookmarked-PDF-(002).pdf,,,,,,,,
Twin Creeks Operation,Turquise Ridge Operations,United States,Nevada,,,,,,,,,,,,Mine,Gold,"Open pit, Underground",,,,,,Newmont Mining Corporation (2018) Nevada Operation Facts,https://www.newmont.com/operations-and-projects/north-america/nevada-us/operation-facts/default.aspx,,,,,,,,
Long Canyon,,United States,Nevada,,,,,,41.00999763,-114.4972987,,,,,Mine,Gold,"Open pit, Leaching plant",2016,,,,,Newmont Mining Corporation (2018) Nevada Operation Facts,https://www.newmont.com/operations-and-projects/north-america/nevada-us/operation-facts/default.aspx,,,,,,,,
